Scancode
#??
3DFX GLIDE
3dfx Glide License
Abstyles License
Academic Free License 3.0
Academic Free License v1.1
Academic Free License v1.2
Academic Free License v2.0
Academic Free License v2.1
Academic Free License v3.0
Academic Free License Version 2.1
"Academic Free License, Version 3.0"
Academy of Motion Picture Arts and Sciences BSD
ACE TAO License
Adaptive Public License 1.0
"Adaptive Public License, Version 1.0"
Adobe Glyph License
Adobe Glyph List License
Adobe Postscript AFM License
Adobe Source Code License 2006
Adobe Systems Incorporated Source Code License Agreement
Affero General Public License 1.0
Affero General Public License 3.0
Affero General Public License 3.0 or later
Affero General Public License v1.0 only
Affero General Public License v1.0 or later
Affero General Public License (v. 1)
AFL 1.1
AFL 1.2
AFL 2.0
AFL 2.1
AFL 3.0
afmparse License
Afmparse License
AGPL 1.0
AGPL-1.0
AGPL 1.0 or later
agpl-3.0
AGPL 3.0
AGPL 3.0
AGPL-3.0
AGPL-3.0
AGPL3.0
AGPL-3.0+
AGPL3.0+
#AGPL-3.0-only
AGPL 3.0 only
#AGPL-3.0-or-later
AGPL 3.0 or later
AGPL 3.0 or later
AGPL3
AGPL3+
agpl-v3
AGPL (v3)
AGPL (v3 or later)
Aladdin FPL v8
Aladdin Free Public License
Allegro 4 License
Altera License
ALv2
Amazon Digital Services License
AMD PLPA License
AMD's plpa_map.c License
AMPAS BSD-Style License
ANTLR 2 License
ANTLR Software Rights Notice
Apache 1.0
Apache 1.1
#Apache-2.0
apache2.0
Apache 2.0
Apache 2.0
Apache 2
Apache License 1.0
Apache License 1.1
Apache License 2.0
"Apache License, Version 2.0"
"Apache License, Version 2.0"
Apache Software License 1.0
Apache Software License 1.1
Apache Software License 2.0
"Apache Software License, Version 1.0"
"Apache Software License, Version 1.1"
Apache (v1.0)
Apache (v1.1)
Apache (v2.0)
apl1.0
APL 1.0
Apple MIT License
Apple Public Source License 1.0
Apple Public Source License 1.1
Apple Public Source License 1.2
Apple Public Source License 2.0
"APPLE PUBLIC SOURCE LICENSE, Version 1.1"
"Apple Public Source License, Version 2.0"
APSL 1.0
APSL 1.1
APSL 1.2
APSL 2.0
Artistic 1.0
Artistic 1.0 (original)
Artistic 1.0 w/clause 8
Artistic 2.0
Artistic (clarified)
Artistic License 1.0
Artistic License 1.0 (Perl)
Artistic License 1.0 w/clause 8
artistic-license-2.0
Artistic License 2.0
Artistic License (Perl) 1.0
Artistic License (v. 2.0)
"Artistic License, Version 1.0"
"Artistic License, Version 2.0"
Artistic-Perl-1.0
ASL 1.0
ASL 1.1
ASL 2.0
Attribution Assurance License
Attribution Assurance Licenses
Bahyph License
Barr License
Barr TeX License
Beerware 42
Beerware License
Beer-Ware License
Berkeley Database License
BitTorrent 1.0
BitTorrent 1.1
BitTorrent Open Source License 1.1
BitTorrent Open Source License v1.0
BitTorrent Open Source License v1.1
Blue Oak Model License 1.0.0
Boost 1.0
Boost Software License 1.0
Boost Software License 1.0 (BSL-1.0)
Boost Software License - Version 1.0
Borceux license
Borceux License
BSD 1-Clause License
BSD-2
#BSD-2-Clause
BSD (2 clause)
BSD 2-Clause License
#BSD-2-Clause-Patent
BSD-2-Clause Plus Patent
BSD-2-Clause Plus Patent License
BSD-2-Clause Plus Patent License
"BSD 2-Clause ""Simplified"" License"
"BSD 2-Clause ""Simplified"" License"
"BSD 2-Clause ""Simplified"" or ""FreeBSD"" License"
"BSD 2-Clause ""Simplified"" or ""FreeBSD"" License (BSD-2-Clause)"
BSD 2-Clause with views sentence
BSD 2 plus
BSD 2 PLUS
BSD-3
#BSD-3-Clause
BSD (3 clause)
BSD-3-Clause
BSD 3-Clause Clear License
BSD 3-Clause License
"BSD 3-Clause ""New"" or ""Revised"" License"
"BSD 3-Clause ""New"" or ""Revised"" License (BSD-3-Clause)"
BSD 3-Clause No Nuclear License 2014
BSD 3-Clause No Nuclear License
BSD 3-Clause No Nuclear Warranty
BSD 3-Clause Open MPI variant
"BSD 4-clause ""Original"" or ""Old"" License"
"BSD 4-Clause ""Original"" or ""Old"" License"
BSD-4-Clause (University of California-Specific)
BSD Acknowledgment License
BSD License (3 clause)
BSD License 3 clause
